gene_name,Gene,Weight,Abs Weight
ADAMTS9-AS2,ADAMTS9-AS2,0.02328921584218938,0.02328921584218938
STARD9,STARD9,0.023029771251937902,0.023029771251937902
EBF1,EBF1,0.02223831425185429,0.02223831425185429
MAGI2-AS3,MAGI2-AS3,0.02220994209598311,0.02220994209598311
CAV1,CAV1,0.02196970598473963,0.02196970598473963
ADAMTS9-AS1,ADAMTS9-AS1,0.02195246303154258,0.02195246303154258
ABCA10,ABCA10,0.021951562728441707,0.021951562728441707
ABCA6,ABCA6,0.02185218706973662,0.02185218706973662
RBMS3,RBMS3,0.021840303140274707,0.021840303140274707
CAV2,CAV2,0.021835782651837547,0.021835782651837547
DMD,DMD,0.021835720287720135,0.021835720287720135
ABCA9,ABCA9,0.021808134555218617,0.021808134555218617
LEPR,LEPR,0.021714377687258708,0.021714377687258708
AC096921.2,AC096921.2,0.021684873635826735,0.021684873635826735
KLHL29,KLHL29,0.02168238465878314,0.02168238465878314
SYNE3,SYNE3,0.02168107940636871,0.02168107940636871
TSHZ2,TSHZ2,0.021670053177548904,0.021670053177548904
SLC16A7,SLC16A7,0.021655058398950443,0.021655058398950443
LINC02884,LINC02884,0.02159925444517691,0.02159925444517691
ARHGAP20,ARHGAP20,0.021591926814106648,0.021591926814106648
TNS1,TNS1,0.021518503288840637,0.021518503288840637
ANGPTL1,ANGPTL1,0.021448927586974424,0.021448927586974424
ADH1A,ADH1A,0.02143752850238904,0.02143752850238904
TGFBR2,TGFBR2,0.021419847467365496,0.021419847467365496
ABCA8,ABCA8,0.0213635590304695,0.0213635590304695
LRRTM2,LRRTM2,0.021263544675402545,0.021263544675402545
CARMN,CARMN,0.02124575386564612,0.02124575386564612
MYOM1,MYOM1,0.02122589094896289,0.02122589094896289
FHL1,FHL1,0.021166438492331605,0.021166438492331605
LINC02202,LINC02202,0.021156566816594988,0.021156566816594988
EBF3,EBF3,0.021127343862895217,0.021127343862895217
MEF2C-AS1,MEF2C-AS1,0.02111525698512686,0.02111525698512686
ITIH5,ITIH5,0.021059012435539613,0.021059012435539613
GPRASP1,GPRASP1,0.021050284768599797,0.021050284768599797
NIPSNAP3B,NIPSNAP3B,0.021025157429153264,0.021025157429153264
LDB2,LDB2,0.021019978029650825,0.021019978029650825
NAALAD2,NAALAD2,0.021013075412690416,0.021013075412690416
IGSF10,IGSF10,0.020950675711016616,0.020950675711016616
LINC00598,LINC00598,0.02094366092706808,0.02094366092706808
LINC00377,LINC00377,0.020890804566659163,0.020890804566659163
CAVIN2,CAVIN2,0.02081581435498314,0.02081581435498314
SPRY2,SPRY2,0.020815439620181175,0.020815439620181175
ADAMTS5,ADAMTS5,0.02080939063543311,0.02080939063543311
FREM1,FREM1,0.02080932160296725,0.02080932160296725
GPR146,GPR146,0.02076216714152505,0.02076216714152505
PPP1R12B,PPP1R12B,0.020760919733403462,0.020760919733403462
RBMS3-AS3,RBMS3-AS3,0.020740774545189765,0.020740774545189765
TRPM3,TRPM3,0.020682110980228752,0.020682110980228752
LYVE1,LYVE1,0.02068053247267933,0.02068053247267933
LHFPL6,LHFPL6,0.02067233385792696,0.02067233385792696
